Unnamed: 0,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Player_Clean,Salary,Season
,528.0,Greg Brown III,22.0,DAL,PF,6.0,0.0,40.0,10.5,0.501,0.273,0.818,8.2,16.3,12.3,13.0,0.0,8.8,21.1,20.3,0.0,0.0,0.0,0.0,-5.0,0.6,-4.4,0.0,,browngr01,Greg Brown,0.0,2023-24
,563.0,Hamidou Diallo,25.0,WAS,SG,2.0,0.0,5.0,33.2,0.5,0.0,0.0,41.8,0.0,21.4,28.9,18.7,0.0,33.3,25.3,0.0,0.0,0.0,0.204,2.7,16.0,18.7,0.0,,diallha01,Hamidou Diallo,0.0,2023-24
,45.0,Harrison Barnes,31.0,SAC,PF,82.0,82.0,2381.0,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,,barneha02,Harrison Barnes,0.0,2023-24
,204.0,Haywood Highsmith,27.0,MIA,PF,66.0,26.0,1366.0,11.1,0.587,0.584,0.109,5.3,12.1,8.7,7.2,1.9,2.1,9.0,12.4,1.1,1.9,3.1,0.108,-1.8,1.1,-0.7,0.5,,highsha01,Haywood Highsmith,1902137.0,2023-24
,428.0,Ibou Badji,21.0,POR,C,22.0,1.0,226.0,8.1,0.623,0.0,0.545,9.4,16.3,12.6,7.7,0.7,8.0,35.5,8.0,0.0,0.2,0.2,0.046,-7.7,1.9,-5.8,-0.2,,badjiib01,Ibou Badji,1761752.0,2023-24
,108.0,Immanuel Quickley,24.0,2TM,SG,68.0,38.0,1985.0,16.7,0.577,0.484,0.274,0.9,13.7,7.2,24.6,1.2,0.5,9.2,23.8,3.5,1.2,4.7,0.115,2.2,-0.9,1.3,1.7,,quickim01,Immanuel Quickley,4171548.0,2023-24
,127.0,Isaac Okoro,23.0,CLE,SF,69.0,42.0,1887.0,11.4,0.599,0.448,0.285,4.0,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2.0,4.2,0.106,-1.8,0.7,-1.1,0.4,,okorois01,Isaac Okoro,8920794.0,2023-24
,124.0,Isaiah Hartenstein,25.0,NYK,C,75.0,49.0,1896.0,18.9,0.67,0.008,0.43,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12.0,4.6,3.5,8.1,0.204,0.7,2.8,3.5,2.6,,harteis01,Isaiah Hartenstein,9245121.0,2023-24
,305.0,Isaiah Jackson,22.0,IND,C,59.0,3.0,771.0,21.5,0.689,0.017,0.438,13.8,21.2,17.5,8.3,2.1,6.3,12.3,17.2,2.2,1.1,3.3,0.204,0.3,1.4,1.7,0.7,,jacksis01,Isaiah Jackson,2696280.0,2023-24
,195.0,Isaiah Joe,24.0,OKC,SG,78.0,1.0,1445.0,13.4,0.626,0.728,0.107,2.6,11.0,6.9,8.9,1.5,1.4,8.5,16.6,1.9,1.6,3.5,0.116,1.1,-0.3,0.9,1.0,,joeis01,Isaiah Joe,1997238.0,2023-24
,367.0,Isaiah Livers,25.0,DET,PF,23.0,6.0,469.0,5.1,0.46,0.664,0.155,3.5,8.0,5.7,7.0,1.3,0.9,11.4,12.7,-0.3,0.2,-0.1,-15.0,-5.0,-1.5,-6.5,-0.5,,liveris01,Isaiah Livers,1836096.0,2023-24
,496.0,Isaiah Mobley,24.0,CLE,PF,10.0,0.0,72.0,8.1,0.471,0.417,0.042,4.7,10.8,7.8,11.5,1.4,0.0,7.6,16.2,0.0,0.1,0.0,0.032,-4.5,-2.1,-6.6,-0.1,,mobleis01,Isaiah Mobley,1761752.0,2023-24
,198.0,Isaiah Stewart,22.0,DET,PF,46.0,45.0,1423.0,11.3,0.6,0.458,0.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,0.056,-1.6,-0.7,-2.3,-0.1,,stewais01,Isaiah Stewart,5266713.0,2023-24
